8 WRITE monitordata 000000ff
88573 WRITE monitorcmd 00000001
88574 WRITE monitorcmd 00000000
88588 WRITE monitoraddr 00001f6a
88589 WRITE monitorcmd 00000001
88590 WRITE monitorcmd 00000000
88604 WRITE monitoraddr 00001f6b
88605 WRITE monitorcmd 00000001
88606 WRITE monitorcmd 00000000
88620 WRITE monitoraddr 00001f6c
88621 WRITE monitorcmd 00000001
88622 WRITE monitorcmd 00000000
88636 WRITE monitoraddr 00001f6d
88637 WRITE monitorcmd 00000001
88638 WRITE monitorcmd 00000000
88652 WRITE monitoraddr 00001f6e
88653 WRITE monitorcmd 00000001
88654 WRITE monitorcmd 00000000
88668 WRITE monitoraddr 00001f6f
88669 WRITE monitorcmd 00000001
88670 WRITE monitorcmd 00000000
88684 WRITE monitoraddr 00001f70
88685 WRITE monitorcmd 00000001
88686 WRITE monitorcmd 00000000
88700 WRITE monitoraddr 00001f71
88701 WRITE monitorcmd 00000001
88702 WRITE monitorcmd 00000000
88716 WRITE monitoraddr 00001f72
88717 WRITE monitorcmd 00000001
88718 WRITE monitorcmd 00000000
88732 WRITE monitoraddr 00001f73
88733 WRITE monitorcmd 00000001
88734 WRITE monitorcmd 00000000
88748 WRITE monitoraddr 00001f74
88749 WRITE monitorcmd 00000001
88750 WRITE monitorcmd 00000000
88764 WRITE monitoraddr 00001f75
88765 WRITE monitorcmd 00000001
88766 WRITE monitorcmd 00000000
88780 WRITE monitoraddr 00001f76
88781 WRITE monitorcmd 00000001
88782 WRITE monitorcmd 00000000
88796 WRITE monitoraddr 00001f77
88797 WRITE monitorcmd 00000001
88798 WRITE monitorcmd 00000000
88812 WRITE monitoraddr 00001f78
88813 WRITE monitorcmd 00000001
88814 WRITE monitorcmd 00000000
88828 WRITE monitoraddr 00001f79
88829 WRITE monitorcmd 00000001
88830 WRITE monitorcmd 00000000
88844 WRITE monitoraddr 00001f7a
88845 WRITE monitorcmd 00000001
88846 WRITE monitorcmd 00000000
88860 WRITE monitoraddr 00001f7b
88861 WRITE monitorcmd 00000001
88862 WRITE monitorcmd 00000000
88876 WRITE monitoraddr 00001f7c
88877 WRITE monitorcmd 00000001
88878 WRITE monitorcmd 00000000
88892 WRITE monitoraddr 00001f7d
88893 WRITE monitorcmd 00000001
88894 WRITE monitorcmd 00000000
88908 WRITE monitoraddr 00001f7e
88909 WRITE monitorcmd 00000001
88910 WRITE monitorcmd 00000000
88924 WRITE monitoraddr 00001f7f
88925 WRITE monitorcmd 00000001
88926 WRITE monitorcmd 00000000
88940 WRITE monitoraddr 00001f80
88941 WRITE monitorcmd 00000001
88942 WRITE monitorcmd 00000000
88956 WRITE monitoraddr 00001f81
88957 WRITE monitorcmd 00000001
88958 WRITE monitorcmd 00000000
88972 WRITE monitoraddr 00001f82
88973 WRITE monitorcmd 00000001
88974 WRITE monitorcmd 00000000
88988 WRITE monitoraddr 00001f83
88989 WRITE monitorcmd 00000001
88990 WRITE monitorcmd 00000000
89004 WRITE monitoraddr 00001f84
89005 WRITE monitorcmd 00000001
89006 WRITE monitorcmd 00000000
89020 WRITE monitoraddr 00001f85
89021 WRITE monitorcmd 00000001
89022 WRITE monitorcmd 00000000
89036 WRITE monitoraddr 00001f86
89037 WRITE monitorcmd 00000001
89038 WRITE monitorcmd 00000000
89052 WRITE monitoraddr 00001f87
89053 WRITE monitorcmd 00000001
89054 WRITE monitorcmd 00000000
89068 WRITE monitoraddr 00001f88
89069 WRITE monitorcmd 00000001
89070 WRITE monitorcmd 00000000
89084 WRITE monitoraddr 00001f89
89085 WRITE monitorcmd 00000001
89086 WRITE monitorcmd 00000000
89100 WRITE monitoraddr 00001f8a
89101 WRITE monitorcmd 00000001
89102 WRITE monitorcmd 00000000
89116 WRITE monitoraddr 00001f8b
89117 WRITE monitorcmd 00000001
89118 WRITE monitorcmd 00000000
89132 WRITE monitoraddr 00001f8c
89133 WRITE monitorcmd 00000001
89134 WRITE monitorcmd 00000000
89148 WRITE monitoraddr 00001f8d
89149 WRITE monitorcmd 00000001
89150 WRITE monitorcmd 00000000
89164 WRITE monitoraddr 00001f8e
89165 WRITE monitorcmd 00000001
89166 WRITE monitorcmd 00000000
89180 WRITE monitoraddr 00001f8f
89181 WRITE monitorcmd 00000001
89182 WRITE monitorcmd 00000000
89196 WRITE monitoraddr 00001f90
89197 WRITE monitorcmd 00000001
89198 WRITE monitorcmd 00000000
89212 WRITE monitoraddr 00001f91
89213 WRITE monitorcmd 00000001
89214 WRITE monitorcmd 00000000
89228 WRITE monitoraddr 00001f92
89229 WRITE monitorcmd 00000001
89230 WRITE monitorcmd 00000000
89244 WRITE monitoraddr 00001f93
89245 WRITE monitorcmd 00000001
89246 WRITE monitorcmd 00000000
89260 WRITE monitoraddr 00001f94
89261 WRITE monitorcmd 00000001
89262 WRITE monitorcmd 00000000
89276 WRITE monitoraddr 00001f95
89277 WRITE monitorcmd 00000001
89278 WRITE monitorcmd 00000000
89292 WRITE monitoraddr 00001f96
89293 WRITE monitorcmd 00000001
89294 WRITE monitorcmd 00000000
89308 WRITE monitoraddr 00001f97
89309 WRITE monitorcmd 00000001
89310 WRITE monitorcmd 00000000
89324 WRITE monitoraddr 00001f98
89325 WRITE monitorcmd 00000001
89326 WRITE monitorcmd 00000000
91565 WRITE monitoraddr 00002064
91566 WRITE monitorcmd 00000001
91567 WRITE monitorcmd 00000000
91581 WRITE monitoraddr 00002065
91582 WRITE monitorcmd 00000001
91583 WRITE monitorcmd 00000000
91597 WRITE monitoraddr 00002066
91598 WRITE monitorcmd 00000001
91599 WRITE monitorcmd 00000000
91613 WRITE monitoraddr 00002067
91614 WRITE monitorcmd 00000001
91615 WRITE monitorcmd 00000000
91629 WRITE monitoraddr 00002068
91630 WRITE monitorcmd 00000001
91631 WRITE monitorcmd 00000000
91645 WRITE monitoraddr 00002069
91646 WRITE monitorcmd 00000001
91647 WRITE monitorcmd 00000000
91661 WRITE monitoraddr 0000206a
91662 WRITE monitorcmd 00000001
91663 WRITE monitorcmd 00000000
91677 WRITE monitoraddr 0000206b
91678 WRITE monitorcmd 00000001
91679 WRITE monitorcmd 00000000
91693 WRITE monitoraddr 0000206c
91694 WRITE monitorcmd 00000001
91695 WRITE monitorcmd 00000000
91709 WRITE monitoraddr 0000206d
91710 WRITE monitorcmd 00000001
91711 WRITE monitorcmd 00000000
91725 WRITE monitoraddr 0000206e
91726 WRITE monitorcmd 00000001
91727 WRITE monitorcmd 00000000
91741 WRITE monitoraddr 0000206f
91742 WRITE monitorcmd 00000001
91743 WRITE monitorcmd 00000000
91757 WRITE monitoraddr 00002070
91758 WRITE monitorcmd 00000001
91759 WRITE monitorcmd 00000000
91773 WRITE monitoraddr 00002071
91774 WRITE monitorcmd 00000001
91775 WRITE monitorcmd 00000000
91789 WRITE monitoraddr 00002072
91790 WRITE monitorcmd 00000001
91791 WRITE monitorcmd 00000000
91805 WRITE monitoraddr 00002073
91806 WRITE monitorcmd 00000001
91807 WRITE monitorcmd 00000000
91821 WRITE monitoraddr 00002074
91822 WRITE monitorcmd 00000001
91823 WRITE monitorcmd 00000000
91837 WRITE monitoraddr 00002075
91838 WRITE monitorcmd 00000001
91839 WRITE monitorcmd 00000000
91853 WRITE monitoraddr 00002076
91854 WRITE monitorcmd 00000001
91855 WRITE monitorcmd 00000000
91869 WRITE monitoraddr 00002077
91870 WRITE monitorcmd 00000001
91871 WRITE monitorcmd 00000000
91885 WRITE monitoraddr 00002078
91886 WRITE monitorcmd 00000001
91887 WRITE monitorcmd 00000000
91901 WRITE monitoraddr 00002079
91902 WRITE monitorcmd 00000001
91903 WRITE monitorcmd 00000000
91917 WRITE monitoraddr 0000207a
91918 WRITE monitorcmd 00000001
91919 WRITE monitorcmd 00000000
91933 WRITE monitoraddr 0000207b
91934 WRITE monitorcmd 00000001
91935 WRITE monitorcmd 00000000
91949 WRITE monitoraddr 0000207c
91950 WRITE monitorcmd 00000001
91951 WRITE monitorcmd 00000000
91965 WRITE monitoraddr 0000207d
91966 WRITE monitorcmd 00000001
91967 WRITE monitorcmd 00000000
91981 WRITE monitoraddr 0000207e
91982 WRITE monitorcmd 00000001
91983 WRITE monitorcmd 00000000
91997 WRITE monitoraddr 0000207f
91998 WRITE monitorcmd 00000001
91999 WRITE monitorcmd 00000000
92013 WRITE monitoraddr 00002080
92014 WRITE monitorcmd 00000001
92015 WRITE monitorcmd 00000000
92029 WRITE monitoraddr 00002081
92030 WRITE monitorcmd 00000001
92031 WRITE monitorcmd 00000000
92045 WRITE monitoraddr 00002082
92046 WRITE monitorcmd 00000001
92047 WRITE monitorcmd 00000000
92061 WRITE monitoraddr 00002083
92062 WRITE monitorcmd 00000001
92063 WRITE monitorcmd 00000000
92077 WRITE monitoraddr 00002084
92078 WRITE monitorcmd 00000001
92079 WRITE monitorcmd 00000000
92093 WRITE monitoraddr 00002085
92094 WRITE monitorcmd 00000001
92095 WRITE monitorcmd 00000000
92109 WRITE monitoraddr 00002086
92110 WRITE monitorcmd 00000001
92111 WRITE monitorcmd 00000000
92125 WRITE monitoraddr 00002087
92126 WRITE monitorcmd 00000001
92127 WRITE monitorcmd 00000000
92141 WRITE monitoraddr 00002088
92142 WRITE monitorcmd 00000001
92143 WRITE monitorcmd 00000000
92157 WRITE monitoraddr 00002089
92158 WRITE monitorcmd 00000001
92159 WRITE monitorcmd 00000000
92173 WRITE monitoraddr 0000208a
92174 WRITE monitorcmd 00000001
92175 WRITE monitorcmd 00000000
92189 WRITE monitoraddr 0000208b
92190 WRITE monitorcmd 00000001
92191 WRITE monitorcmd 00000000
92205 WRITE monitoraddr 0000208c
92206 WRITE monitorcmd 00000001
92207 WRITE monitorcmd 00000000
92221 WRITE monitoraddr 0000208d
92222 WRITE monitorcmd 00000001
92223 WRITE monitorcmd 00000000
92237 WRITE monitoraddr 0000208e
92238 WRITE monitorcmd 00000001
92239 WRITE monitorcmd 00000000
92253 WRITE monitoraddr 0000208f
92254 WRITE monitorcmd 00000001
92255 WRITE monitorcmd 00000000
92269 WRITE monitoraddr 00002090
92270 WRITE monitorcmd 00000001
92271 WRITE monitorcmd 00000000
92285 WRITE monitoraddr 00002091
92286 WRITE monitorcmd 00000001
92287 WRITE monitorcmd 00000000
92301 WRITE monitoraddr 00002092
92302 WRITE monitorcmd 00000001
92303 WRITE monitorcmd 00000000
92317 WRITE monitoraddr 00002093
92318 WRITE monitorcmd 00000001
92319 WRITE monitorcmd 00000000
92333 WRITE monitoraddr 00002094
92334 WRITE monitorcmd 00000001
92335 WRITE monitorcmd 00000000
92349 WRITE monitoraddr 00002095
92350 WRITE monitorcmd 00000001
92351 WRITE monitorcmd 00000000
92365 WRITE monitoraddr 00002096
92366 WRITE monitorcmd 00000001
92367 WRITE monitorcmd 00000000
92381 WRITE monitoraddr 00002097
92382 WRITE monitorcmd 00000001
92383 WRITE monitorcmd 00000000
92397 WRITE monitoraddr 00002098
92398 WRITE monitorcmd 00000001
92399 WRITE monitorcmd 00000000
92413 WRITE monitoraddr 00002099
92414 WRITE monitorcmd 00000001
92415 WRITE monitorcmd 00000000
92429 WRITE monitoraddr 0000209a
92430 WRITE monitorcmd 00000001
92431 WRITE monitorcmd 00000000
92445 WRITE monitoraddr 0000209b
92446 WRITE monitorcmd 00000001
92447 WRITE monitorcmd 00000000
92461 WRITE monitoraddr 0000209c
92462 WRITE monitorcmd 00000001
92463 WRITE monitorcmd 00000000
94625 WRITE monitoraddr 00002161
94626 WRITE monitorcmd 00000001
94627 WRITE monitorcmd 00000000
94641 WRITE monitoraddr 00002162
94642 WRITE monitorcmd 00000001
94643 WRITE monitorcmd 00000000
94657 WRITE monitoraddr 00002163
94658 WRITE monitorcmd 00000001
94659 WRITE monitorcmd 00000000
94673 WRITE monitoraddr 00002164
94674 WRITE monitorcmd 00000001
94675 WRITE monitorcmd 00000000
94689 WRITE monitoraddr 00002165
94690 WRITE monitorcmd 00000001
94691 WRITE monitorcmd 00000000
94705 WRITE monitoraddr 00002166
94706 WRITE monitorcmd 00000001
94707 WRITE monitorcmd 00000000
94721 WRITE monitoraddr 00002167
94722 WRITE monitorcmd 00000001
94723 WRITE monitorcmd 00000000
94737 WRITE monitoraddr 00002168
94738 WRITE monitorcmd 00000001
94739 WRITE monitorcmd 00000000
94753 WRITE monitoraddr 00002169
94754 WRITE monitorcmd 00000001
94755 WRITE monitorcmd 00000000
94769 WRITE monitoraddr 0000216a
94770 WRITE monitorcmd 00000001
94771 WRITE monitorcmd 00000000
94785 WRITE monitoraddr 0000216b
94786 WRITE monitorcmd 00000001
94787 WRITE monitorcmd 00000000
94801 WRITE monitoraddr 0000216c
94802 WRITE monitorcmd 00000001
94803 WRITE monitorcmd 00000000
94817 WRITE monitoraddr 0000216d
94818 WRITE monitorcmd 00000001
94819 WRITE monitorcmd 00000000
94833 WRITE monitoraddr 0000216e
94834 WRITE monitorcmd 00000001
94835 WRITE monitorcmd 00000000
94849 WRITE monitoraddr 0000216f
94850 WRITE monitorcmd 00000001
94851 WRITE monitorcmd 00000000
94865 WRITE monitoraddr 00002170
94866 WRITE monitorcmd 00000001
94867 WRITE monitorcmd 00000000
94881 WRITE monitoraddr 00002171
94882 WRITE monitorcmd 00000001
94883 WRITE monitorcmd 00000000
94897 WRITE monitoraddr 00002172
94898 WRITE monitorcmd 00000001
94899 WRITE monitorcmd 00000000
94913 WRITE monitoraddr 00002173
94914 WRITE monitorcmd 00000001
94915 WRITE monitorcmd 00000000
94929 WRITE monitoraddr 00002174
94930 WRITE monitorcmd 00000001
94931 WRITE monitorcmd 00000000
94945 WRITE monitoraddr 00002175
94946 WRITE monitorcmd 00000001
94947 WRITE monitorcmd 00000000
94961 WRITE monitoraddr 00002176
94962 WRITE monitorcmd 00000001
94963 WRITE monitorcmd 00000000
94977 WRITE monitoraddr 00002177
94978 WRITE monitorcmd 00000001
94979 WRITE monitorcmd 00000000
94993 WRITE monitoraddr 00002178
94994 WRITE monitorcmd 00000001
94995 WRITE monitorcmd 00000000
95009 WRITE monitoraddr 00002179
95010 WRITE monitorcmd 00000001
95011 WRITE monitorcmd 00000000
95025 WRITE monitoraddr 0000217a
95026 WRITE monitorcmd 00000001
95027 WRITE monitorcmd 00000000
95041 WRITE monitoraddr 0000217b
95042 WRITE monitorcmd 00000001
95043 WRITE monitorcmd 00000000
95057 WRITE monitoraddr 0000217c
95058 WRITE monitorcmd 00000001
95059 WRITE monitorcmd 00000000
95073 WRITE monitoraddr 0000217d
95074 WRITE monitorcmd 00000001
95075 WRITE monitorcmd 00000000
95089 WRITE monitoraddr 0000217e
95090 WRITE monitorcmd 00000001
95091 WRITE monitorcmd 00000000
95105 WRITE monitoraddr 0000217f
95106 WRITE monitorcmd 00000001
95107 WRITE monitorcmd 00000000
95121 WRITE monitoraddr 00002180
95122 WRITE monitorcmd 00000001
95123 WRITE monitorcmd 00000000
95137 WRITE monitoraddr 00002181
95138 WRITE monitorcmd 00000001
95139 WRITE monitorcmd 00000000
95153 WRITE monitoraddr 00002182
95154 WRITE monitorcmd 00000001
95155 WRITE monitorcmd 00000000
95169 WRITE monitoraddr 00002183
95170 WRITE monitorcmd 00000001
95171 WRITE monitorcmd 00000000
95185 WRITE monitoraddr 00002184
95186 WRITE monitorcmd 00000001
95187 WRITE monitorcmd 00000000
95201 WRITE monitoraddr 00002185
95202 WRITE monitorcmd 00000001
95203 WRITE monitorcmd 00000000
95217 WRITE monitoraddr 00002186
95218 WRITE monitorcmd 00000001
95219 WRITE monitorcmd 00000000
95233 WRITE monitoraddr 00002187
95234 WRITE monitorcmd 00000001
95235 WRITE monitorcmd 00000000
95249 WRITE monitoraddr 00002188
95250 WRITE monitorcmd 00000001
95251 WRITE monitorcmd 00000000
95265 WRITE monitoraddr 00002189
95266 WRITE monitorcmd 00000001
95267 WRITE monitorcmd 00000000
95281 WRITE monitoraddr 0000218a
95282 WRITE monitorcmd 00000001
95283 WRITE monitorcmd 00000000
95297 WRITE monitoraddr 0000218b
95298 WRITE monitorcmd 00000001
95299 WRITE monitorcmd 00000000
95313 WRITE monitoraddr 0000218c
95314 WRITE monitorcmd 00000001
95315 WRITE monitorcmd 00000000
95329 WRITE monitoraddr 0000218d
95330 WRITE monitorcmd 00000001
95331 WRITE monitorcmd 00000000
95345 WRITE monitoraddr 0000218e
95346 WRITE monitorcmd 00000001
95347 WRITE monitorcmd 00000000
95361 WRITE monitoraddr 0000218f
95362 WRITE monitorcmd 00000001
95363 WRITE monitorcmd 00000000
95377 WRITE monitoraddr 00002190
95378 WRITE monitorcmd 00000001
95379 WRITE monitorcmd 00000000
95393 WRITE monitoraddr 00002191
95394 WRITE monitorcmd 00000001
95395 WRITE monitorcmd 00000000
95409 WRITE monitoraddr 00002192
95410 WRITE monitorcmd 00000001
95411 WRITE monitorcmd 00000000
95425 WRITE monitoraddr 00002193
95426 WRITE monitorcmd 00000001
95427 WRITE monitorcmd 00000000
95441 WRITE monitoraddr 00002194
95442 WRITE monitorcmd 00000001
95443 WRITE monitorcmd 00000000
95457 WRITE monitoraddr 00002195
95458 WRITE monitorcmd 00000001
95459 WRITE monitorcmd 00000000
95473 WRITE monitoraddr 00002196
95474 WRITE monitorcmd 00000001
95475 WRITE monitorcmd 00000000
95489 WRITE monitoraddr 00002197
95490 WRITE monitorcmd 00000001
95491 WRITE monitorcmd 00000000
95505 WRITE monitoraddr 00002198
95506 WRITE monitorcmd 00000001
95507 WRITE monitorcmd 00000000
95521 WRITE monitoraddr 00002199
95522 WRITE monitorcmd 00000001
95523 WRITE monitorcmd 00000000
95537 WRITE monitoraddr 0000219a
95538 WRITE monitorcmd 00000001
95539 WRITE monitorcmd 00000000
95553 WRITE monitoraddr 0000219b
95554 WRITE monitorcmd 00000001
95555 WRITE monitorcmd 00000000
95569 WRITE monitoraddr 0000219c
95570 WRITE monitorcmd 00000001
95571 WRITE monitorcmd 00000000
95585 WRITE monitoraddr 0000219d
95586 WRITE monitorcmd 00000001
95587 WRITE monitorcmd 00000000
95601 WRITE monitoraddr 0000219e
95602 WRITE monitorcmd 00000001
95603 WRITE monitorcmd 00000000
95617 WRITE monitoraddr 0000219f
95618 WRITE monitorcmd 00000001
95619 WRITE monitorcmd 00000000
97715 WRITE monitoraddr 0000225e
97716 WRITE monitorcmd 00000001
97717 WRITE monitorcmd 00000000
97731 WRITE monitoraddr 0000225f
97732 WRITE monitorcmd 00000001
97733 WRITE monitorcmd 00000000
97747 WRITE monitoraddr 00002260
97748 WRITE monitorcmd 00000001
97749 WRITE monitorcmd 00000000
97763 WRITE monitoraddr 00002261
97764 WRITE monitorcmd 00000001
97765 WRITE monitorcmd 00000000
97779 WRITE monitoraddr 00002262
97780 WRITE monitorcmd 00000001
97781 WRITE monitorcmd 00000000
97795 WRITE monitoraddr 00002263
97796 WRITE monitorcmd 00000001
97797 WRITE monitorcmd 00000000
97811 WRITE monitoraddr 00002264
97812 WRITE monitorcmd 00000001
97813 WRITE monitorcmd 00000000
97827 WRITE monitoraddr 00002265
97828 WRITE monitorcmd 00000001
97829 WRITE monitorcmd 00000000
97843 WRITE monitoraddr 00002266
97844 WRITE monitorcmd 00000001
97845 WRITE monitorcmd 00000000
97859 WRITE monitoraddr 00002267
97860 WRITE monitorcmd 00000001
97861 WRITE monitorcmd 00000000
97875 WRITE monitoraddr 00002268
97876 WRITE monitorcmd 00000001
97877 WRITE monitorcmd 00000000
97891 WRITE monitoraddr 00002269
97892 WRITE monitorcmd 00000001
97893 WRITE monitorcmd 00000000
97907 WRITE monitoraddr 0000226a
97908 WRITE monitorcmd 00000001
97909 WRITE monitorcmd 00000000
97923 WRITE monitoraddr 0000226b
97924 WRITE monitorcmd 00000001
97925 WRITE monitorcmd 00000000
97939 WRITE monitoraddr 0000226c
97940 WRITE monitorcmd 00000001
97941 WRITE monitorcmd 00000000
97955 WRITE monitoraddr 0000226d
97956 WRITE monitorcmd 00000001
97957 WRITE monitorcmd 00000000
97971 WRITE monitoraddr 0000226e
97972 WRITE monitorcmd 00000001
